aceh;12
sumatera utara;71
sumatera barat;13
riau;14
jambi;15
sumatera selatan;16
bengkulu;17
lampung;18
kepulauan bangka belitung;19
kepulauan riau;21
dki jakarta;31
jawa barat;32
jawa tengah;33
di yogyakarta;34
jawa timur;35
banten;36
bali;51
nusa tenggara barat;52
nusa tenggara timur;53
kalimantan barat;61
kalimantan tengah;62
kalimantan selatan;63
kalimantan timur;64
kalimantan utara;65
sulawesi utara;71
sulawesi tengah;72
sulawesi selatan;73
sulawesi tenggara;74
gorontalo;75
sulawesi barat;76
maluku;81
maluku utara;82
papua barat;92
papua;91
jakarta;31
yogyakarta;34
jogjakarta;34
